identifier,page_from,page_to,publication_identifier
1,,,#Kunkel_1989
2,,,#Kunkel_2006
3,,,#KZSP_SW
5,,,#NKDM3
6,,,#Knapinski_1949
7,,,#Jarzębski_1974
8,,,#Mrozowski_2020
9,,,#Księga_Pamiątkowa_TUR_1900
10,,,#Herbst_1949
11,,,#Kurier_1849
12,,,#Kalendarz_1874_1876
13,,,#Przegląd_Techniczny_1904
14,,,#Bieniecki_1972
15,,,#Wikipedia
16,162.0,169.0,#Omilanowska_2004
17,92.0,92.0,#Omilanowska_2004
18,160.0,160.0,#Omilanowska_2004
19,298.0,298.0,#Majewski_2003
20,90.0,93.0,#Majewski_2003
21,174.0,176.0,#Majewski_2003
22,45.0,49.0,#Majewski_2003
23,,,#Machlejd_2006
24,,,#Gagatnicki_1893
25,132.0,133.0,#Marcinkowski_2013
26,257.0,257.0,#Szwankowski_1952
27,218.0,219.0,#Przewodnik_1893
28,,,#Madajczyk_2009
29,,,#Zbior_Korotyńskich_72/1001/0/5/24
30,,,#Łupienko_2017
31,139.0,139.0,#Szwankowski_1970
32,,,#Jaroszewski_1975
33,274.0,274.0,#Szwankowski_1970
34,,,#Troczewski_1897
35,,,#GmachDawnejPanoramy
36,,,#WarsztatySamochodoweDynasy
37,,,#Słowo_184_1904
38,,,#MiejskieElewatory
39,,,#Gmachy_1928
40,,,#Sosna_KatSobor
41,,,#Schiller-Walicka_2016
42,,,#Szwarc_2016
43,75.0,75.0,#Marcinkowski_2013
44,,,#Warszawikia
45,,,#Warszawa1939
46,,,#PlanWarszawy1920
47,,,#Jaroszewski_1996
48,,,#Przegląd_Techniczny_1907
49,,,#Markiewicz_et_al_2012
50,,,#Sobieszczański_1967
51,,,#Świątkowski_1852
52,27.0,27.0,#Szwankowski_1970
53,,,#Majewski_2009_a
54,,,#forty.waw.pl
55,,,#PlanWarszawy_1827
56,,,#Fijalkowski_2020
1000,,,#TODO
