topographic_object_identifier,start_at_input,end_at_input,start_at,end_at,location_identifier,historical_evidence,location_link_type
1.0,1379.0,1560.0,1379.0,1560.0,1.0,1000.0,dokładnie
2.0,1525.0,1830.0,1525.0,1830.0,2.0,1.0,obok
3.0,1356.0,1864.0,1356.0,1864.0,3.0,3.0,dokładnie
4.0,1356.0,1400.0,1356.0,1400.0,4.0,3.0,dokładnie
5.0,1356.0,1441.0,1356.0,1441.0,3.0,3.0,wśród
6.0,1356.0,,1356.0,,4.0,3.0,obok
7.0,1400.0,1944.0,1400.0,1944.0,4.0,3.0,dokładnie
10.0,1441.0,1864.0,1441.0,1864.0,3.0,3.0,wśród
11.0,1650.0,1864.0,1650.0,1864.0,5.0,3.0,dokładnie
12.0,1650.0,1864.0,1650.0,1864.0,3.0,3.0,wśród
13.0,1650.0,1864.0,1650.0,1864.0,3.0,3.0,wśród
14.0,1701.0,1864.0,1701.0,1864.0,3.0,3.0,wśród
15.0,1483.0,1864.0,1483.0,1864.0,4.0,6.0,obok
16.0,1780.0,1864.0,1780.0,1864.0,3.0,3.0,wśród
17.0,1339.0,1453.0,1339.0,1453.0,6.0,2.0,dokładnie
18.0,1453.0,1819.0,1453.0,1819.0,6.0,2.0,dokładnie
19.0,1450.0,1818.0,1450.0,1818.0,6.0,2.0,obok
21.0,1892.0,1939.0,1892.0,1939.0,7.0,38.0,przybliżona
24.0,1522.0,1569.0,1522.0,1569.0,8.0,8.0,przybliżona
24.0,1643.0,,1643.0,,8.0,7.0,przybliżona
25.0,1823.0,2000.0,1823.0,2000.0,9.0,1000.0,dokładnie
26.0,1823.0,1961.0,1823.0,1961.0,10.0,1000.0,dokładnie
26.0,1961.0,2000.0,1961.0,2000.0,34.0,1000.0,dokładnie
27.0,1790.0,2000.0,1790.0,2000.0,11.0,1000.0,dokładnie
28.0,1432.0,1560.0,1432.0,1560.0,1.0,1000.0,przybliżona
29.0,1900.0,2020.0,1900.0,2020.0,16.0,1000.0,dokładnie
30.0,1897.0,1939.0,1897.0,1939.0,17.0,1000.0,dookoła
31.0,1849.0,2000.0,1849.0,2000.0,18.0,1000.0,dokładnie
32.0,1875.0,2000.0,1875.0,2000.0,19.0,1000.0,dokładnie
33.0,1841.0,1964.0,1841.0,1964.0,20.0,14.0,przybliżona
34.0,1908.0,1947.0,1908.0,1947.0,21.0,16.0,przybliżona
35.0,1805.0,1906.0,1805.0,1906.0,22.0,19.0,dookoła
35.0,1906.0,1944.0,1906.0,1944.0,23.0,23.0,dookoła
36.0,1893.0,2000.0,1893.0,2000.0,24.0,24.0,dokładnie
37.0,1886.0,1944.0,1886.0,1944.0,25.0,27.0,przybliżona
37.0,1945.0,2000.0,1945.0,2000.0,25.0,26.0,przybliżona
38.0,1877.0,1944.0,1877.0,1944.0,26.0,25.0,przybliżona
39.0,1823.0,1877.0,1823.0,1877.0,118.0,25.0,przybliżona
40.0,1841.0,1939.0,1841.0,1939.0,27.0,17.0,przybliżona
41.0,1902.0,2000.0,1902.0,2000.0,28.0,18.0,dokładnie
42.0,1911.0,1954.0,1911.0,1954.0,29.0,20.0,przybliżona
43.0,1894.0,1944.0,1894.0,1944.0,30.0,21.0,przybliżona
44.0,1902.0,1915.0,1902.0,1915.0,31.0,22.0,przybliżona
45.0,1925.0,1944.0,1925.0,1944.0,32.0,1000.0,dokładnie
46.0,1866.0,1939.0,1866.0,1939.0,33.0,1000.0,dokładnie
20.0,1643.0,,1643.0,,35.0,7.0,przybliżona
22.0,1499.0,1553.0,1499.0,1553.0,36.0,8.0,prawdopodobna
23.0,1565.0,1567.0,1565.0,1567.0,37.0,8.0,prawdopodobna
47.0,1819.0,1897.0,1819.0,1897.0,6.0,2.0,dokładnie
48.0,1888.0,2000.0,1888.0,2000.0,38.0,29.0,dokładnie
51.0,1911.0,2000.0,1911.0,2000.0,40.0,30.0,dokładnie
52.0,1912.0,1944.0,1912.0,1944.0,41.0,30.0,przybliżona
53.0,1870.0,1936.0,1870.0,1936.0,42.0,26.0,dookoła
54.0,1883.0,2000.0,1883.0,2000.0,43.0,32.0,dokładnie
55.0,1818.0,1942.0,1818.0,1942.0,44.0,33.0,przybliżona
49.0,1897.0,1907.0,1897.0,1907.0,45.0,35.0,dokładnie
56.0,1907.0,1910.0,1907.0,1910.0,45.0,35.0,dokładnie
57.0,1910.0,1913.0,1910.0,1913.0,45.0,35.0,dokładnie
58.0,1913.0,1921.0,1913.0,1921.0,45.0,35.0,dokładnie
59.0,1921.0,1939.0,1921.0,1939.0,45.0,35.0,dokładnie
60.0,1896.0,1913.0,1896.0,1913.0,46.0,36.0,dokładnie
61.0,1913.0,1938.0,1913.0,1938.0,46.0,36.0,dokładnie
62.0,1938.0,1939.0,1938.0,1939.0,46.0,36.0,dokładnie
63.0,1939.0,2000.0,1939.0,2000.0,46.0,1000.0,dokładnie
64.0,1897.0,1904.0,1897.0,1904.0,47.0,37.0,dokładnie
65.0,1901.0,1995.0,1901.0,1995.0,48.0,1000.0,dokładnie
