identifier,the_geom,name,location_dataset_identifer,varia,historical_evidence,location_link_type,date_range,change,type_identifier
1,"52.25068853563155, 21.012523999846863",Baszta Biała,,,,,,,
2,"52.248166445133876, 21.01419457829904",kaplica św. Małgorzaty,,,,,,,
3,"52.24821124787931, 21.012453430954597",zespół klasztorny augustianów-eremitów,,,,,,,
4,"52.24842528487927, 21.012473730092783",kościół św. Marcina,,,,,,,
5,"52.24807416256469, 21.012982208427154","kamienica stanowiąca część klasztoru augustianów-eremitów (Piwna 7, nr hip. 114)",,,,,,,
6,"52.2518100, 21.0074700",kościół św. Jerzego w Warszawie,,,,,,,
7,"52.2258433, 20.9601870","Elewator 1, Miejskie Elewatory Zbożowe, ul. Bema 60a",#GoogleMaps,,,,1892-1939,,
8,"52.2525400, 21.0135800","przeprawa przez Wisłę, okolice dzisiejszej ulicy Mostowej",,,,,,przeniesienie w 2001 r.,
9,"52.24722998541573, 21.051610211246082",Rogatka Grochowska I (południowa),#Lindley,"Uwaga: Rogatkę Grochowską I przeniesiono na obecne miejsce w 2001 r. (przesunięto ją o 8,7 m), wcześniejsze położenie jest widoczne na 13 arkusz Planu Lindleya w skali 1:2500 (obie rogatki położone są po obu stronach ówczesnej Wołowej, niedaleko cmentarza katolickiego - Rogatka I znajduje się na południu)",,przybliżona,,przeniesienie,
10,"52.247794897657954, 21.051749686105747",Rogatka Grochowska II (północna),#GoogleMaps,,,dokładnie,1961-2000,,
11,"52.25276108113371, 20.977969097884504",Cmentarz Powązkowski,#Fotomapa1935,,,dokładnie,1790-2000,przebudowa,
16,"52.23415596845132, 21.009869238945598","Gmach Towarzystwa Ubezpieczeń ""Rossya""",#GoogleMaps,,,dokładnie,1900-2000,zniszczenie,
17,"52.23718111160122, 21.008166500209537","Gmach Domu Mody ""Bogusław Herse""",#Fotomapa1935,,,dookoła,1897-1939,,
18,"52.238237048080045, 20.99258047850341",Kościół p.w. św. Karola Boromeusza,#GoogleMaps,,,dokładnie,1849-2000,,
19,"52.237242454177654, 21.0058460847311",Pałac Jakuba Janasza,#GoogleMaps,,,dokładnie,1875-2000,zniszczenie,
20,"52.23735827563949, 20.990022682063692",Kamienica Jana Józefa Manzla przy ul. Chłodnej nr hip. 927B,#Lindley,,,,1841-1964,zniszczenie,
21,"52.22956699726129, 20.989652752987514",Hala hurtowa na placu Witkowskiego/Kazimierza Wielkiego,#Fotomapa1935,,,przybliżona,1908-1947,zniszczenie,
22,"52.23327292582196, 20.992696497985396","Ogród handlowy Ulrichów, nr hip. 1117",#Lindley,,,dookoła,1805-przed 1906,sprzedaż części terenu m.in. pod Szkołę Kupców na rogu Walicowa i Prostej,
23,"52.23327292582196, 20.992696497985396","Ogród handlowy Ulrichów, nr hip. 1117",#Fotomapa1935,,,dookoła,przed 1906,powstanie,
24,"52.23545458846053, 21.003340853060365",Kościół p.w. Wszystkich Świętych w Warszawie,#GoogleMaps,,,,1893-2000,przybliżona,
25,"52.22656228161761, 21.00750922871147",Kościół p.w. św. Piotra i Pawła w Warszawie,#GoogleMaps,"UWAGA: kościół odbudowano na innym planie archit., ale prawdopodobnie w tym samym miejscu: to do sprawdzenia na mapie Lindleya w porównaniu z Googlem",,,1886-1944,przebudowa,
26,"52.238090962416095, 21.00537339346967",Gmach giełdy warszawskiej,#Lindley,Trzeba skonfrontować obiekt na mapie Lindleya graniczący z kamienicą nr hip. 1078D ,,,1877-1944,powstanie,
118,"52.238090962416095, 21.00537339346967",Ujeżdżalnia przy ul. Królewskiej,#Lindley,,,,1823-1877,,
27,"52.23971218509781, 21.002782030135094",Gościnny Dwór,#Lindley,Trzeba skonfrontować obiekt na mapie Lindleya ,,przybliżona,1841-1939,,
28,"52.238930359884925, 20.99761073117185",Hale Mirowskie,#GoogleMaps,,,dookoła,1902-2000,zniszczenie,
29,"52.234823429714076, 21.007183507764008","Kamienica Bractwa Subiektów Handlowych, nr hip. 1414a",#Fotomapa1935,,,przybliżona,po 1911-1954,zniszczenie,
30,"52.23435688674018, 21.00865842612838","Kamienica Braci Zambonich (neogotycka), nr hip. 1379",#Lindley,,,przybliżona,1894-1944,zniszczenie,
31,"52.22639868943129, 20.994626600929006",Dworzec Kaliski,#Fotomapa1935,,,przybliżona,1902-1915,zniszczenie,
32,"52.25594900439654, 21.05439649913739",Zajezdnia tramwajowa na Pradze,#Fotomapa1935,,,,1925-1944,zniszczenie,
33,"52.25093523770945, 21.04833495591725",Dworzec Terespolski,#Fotomapa1935,,,,1866-1939,powstanie,
34,"52.247794897657954, 21.051749686105747",Rogatka Grochowska II,#Lindley,"Uwaga: Rogatkę Grochowską II przeniesiono na obecne miejsce w 1961 r., wcześniejsze położenie jest widoczne na 13 arkusz Planu Lindleya w skali 1:2500 (obie rogatki położone są po obu stronach ówczesnej Wołowej, niedaleko cmentarza katolickiego - Rogatka II znajduje się na północy)",,przybliżona,1823-1961,wzmianka,
