starts_at,ends_at,whole_identifiers,part_identifiers,historical_evidences
1379,1560.0,1,1,1000
1356,1400.0,3,4,3
1356,1441.0,3,5,3
1356,,3,6,3
1400,1478.0,3,7,3
1441,1864.0,3,10,3
1752,1864.0,3,11,3
1650,1864.0,3,12,3
1650,1864.0,3,13,3
1701,1864.0,3,14,3
1483,1864.0,3,15,3
1780,1864.0,3,16,3
1865,1869.0,72,76,42
1350,1800.0,83,78,1000
1548,1800.0,78,85,1000
1617,1804.0,83,89,1000
1606,1944.0,93,91,1000
1638,2000.0,93,92,1000
1615,1892.0,110,112,1000
1615,1807.0,110,113,1000
1846,1919.0,122,123,1000
1919,1946.0,122,124,1000
1854,1935.0,126,125,1000
1735,1821.0,151,154,1000
