topographic_object_identifier,start_at_input,end_at_input,start_at,end_at,type,historical_evidence,varia,new_type_name
1.0,1379.0,1560.0,1379.0,1560.0,baszta,1.0,,
2.0,1526.0,1839.0,1526.0,1839.0,budynek gospodarczy,3.0,,
3.0,1356.0,1864.0,1356.0,1864.0,zespół sakralny lub klasztorny,3.0,,
4.0,1356.0,1400.0,1356.0,1400.0,kościół,3.0,,
5.0,1356.0,1441.0,1356.0,1441.0,klasztor,3.0,,
6.0,1356.0,,1356.0,,cmentarz,3.0,,
7.0,1400.0,1478.0,1400.0,1478.0,kościół,3.0,,
10.0,1441.0,1864.0,1441.0,1864.0,klasztor,3.0,,
11.0,1650.0,1864.0,1650.0,1864.0,klasztor,3.0,,
12.0,1650.0,1864.0,1650.0,1864.0,budynek gospodarczy,3.0,,
13.0,1650.0,1864.0,1650.0,1864.0,stajnia,3.0,,
14.0,1701.0,1864.0,1701.0,1864.0,dom zakonny,6.0,,
15.0,1483.0,1864.0,1483.0,1864.0,ujęcie wody,3.0,,
16.0,1780.0,1864.0,1780.0,1864.0,parking,2.0,,
17.0,1339.0,1453.0,1339.0,1453.0,kościół,2.0,,
18.0,1453.0,1819.0,1453.0,1819.0,kościół,2.0,,
47.0,1819.0,1897.0,1819.0,1897.0,fabryka,2.0,,
19.0,1450.0,1818.0,1450.0,1818.0,klasztor,7.0,,
20.0,1643.0,,1643.0,,elewator,38.0,,
21.0,1892.0,1939.0,1892.0,1939.0,elewator,8.0,,
22.0,1499.0,1569.0,1499.0,1569.0,cegielnia,8.0,,
23.0,1565.0,1569.0,1565.0,1569.0,port wodny,8.0,,
24.0,1522.0,1569.0,1522.0,1569.0,przeprawa łodziami,7.0,,
24.0,1643.0,,1643.0,,przeprawa łodziami,1000.0,,
25.0,1823.0,1916.0,1823.0,1916.0,rogatka,1000.0,,
26.0,1823.0,1916.0,1823.0,1916.0,rogatka,1000.0,,
27.0,1790.0,2000.0,1790.0,2000.0,cmentarz,9.0,,
29.0,1900.0,1944.0,1900.0,1944.0,budynki biurowe,10.0,,
30.0,1897.0,1939.0,1897.0,1939.0,dom towarowy lub handlowy,11.0,,
31.0,1849.0,2000.0,1849.0,2000.0,kościół,12.0,,
32.0,1875.0,2000.0,1875.0,2000.0,pałac,14.0,,
33.0,1841.0,1964.0,1841.0,1964.0,kamienica,16.0,,
34.0,1908.0,1942.0,1908.0,1942.0,hala targowa,19.0,,
35.0,1805.0,1944.0,1805.0,1944.0,ogród,24.0,,
36.0,1893.0,2000.0,1893.0,2000.0,kościół,27.0,,
37.0,1886.0,1944.0,1886.0,1944.0,kościół,25.0,,
38.0,1877.0,1944.0,1877.0,1944.0,giełda,25.0,,
39.0,1823.0,1877.0,1823.0,1877.0,ujeżdżalnia,17.0,,
40.0,1841.0,1939.0,1841.0,1939.0,hala targowa,18.0,,
41.0,1902.0,2000.0,1902.0,2000.0,hala targowa,20.0,,
42.0,1911.0,1954.0,1911.0,1954.0,budynki handlowo-usługowe,21.0,,
43.0,1894.0,1944.0,1894.0,1944.0,kamienica,22.0,,
44.0,1902.0,1915.0,1902.0,1915.0,kamienica,23.0,,
45.0,1925.0,1944.0,1925.0,1944.0,zajezdnia tramwajowa,1000.0,,
46.0,1866.0,1939.0,1866.0,1939.0,dworzec kolejowy,29.0,,
48.0,1888.0,1944.0,1888.0,1944.0,kościół,1000.0,,
50.0,,1770.0,,1770.0,droga główna,1000.0,,
