identifiers,the_geom_X_Y,names,location_dataset_identifers
1,"52.25068853563155, 21.012523999846863",Baszta Biała,
2,"52.248166445133876, 21.01419457829904",kaplica św. Małgorzaty,
3,"52.24821124787931, 21.012453430954597",zespół klasztorny augustianów-eremitów,
4,"52.24842528487927, 21.012473730092783",kościół św. Marcina,
5,"52.24807416256469, 21.012982208427154","kamienica stanowiąca część klasztoru augustianów-eremitów (Piwna 7, nr hip. 114)",
6,"52.2518100, 21.0074700",kościół św. Jerzego w Warszawie,
7,"52.2258433, 20.9601870","Elewator 1, Miejskie Elewatory Zbożowe, ul. Bema 60a",#GoogleMaps
8,"52.2525400, 21.0135800","przeprawa przez Wisłę, okolice dzisiejszej ulicy Mostowej",
9,"52.24722998541573, 21.051610211246082",Rogatka Grochowska I (południowa),#Lindley
10,"52.247794897657954, 21.051749686105747",Rogatka Grochowska II (północna),#GoogleMaps
11,"52.25276108113371, 20.977969097884504",Cmentarz Powązkowski,#Fotomapa1935
16,"52.23415596845132, 21.009869238945598","Gmach Towarzystwa Ubezpieczeń ""Rossya""",#GoogleMaps
17,"52.23718111160122, 21.008166500209537","Gmach Domu Mody ""Bogusław Herse""",#Fotomapa1935
18,"52.238237048080045, 20.99258047850341",Kościół p.w. św. Karola Boromeusza,#GoogleMaps
19,"52.237242454177654, 21.0058460847311",Pałac Jakuba Janasza,#GoogleMaps
20,"52.23735827563949, 20.990022682063692",Kamienica Jana Józefa Manzla przy ul. Chłodnej nr hip. 927B,#Lindley
21,"52.22956699726129, 20.989652752987514",Hala hurtowa na placu Witkowskiego/Kazimierza Wielkiego,#Fotomapa1935
22,"52.23327292582196, 20.992696497985396","Ogród handlowy Ulrichów, nr hip. 1117",#Lindley
23,"52.23327292582196, 20.992696497985396","Ogród handlowy Ulrichów, nr hip. 1117",#Fotomapa1935
24,"52.23545458846053, 21.003340853060365",Kościół p.w. Wszystkich Świętych w Warszawie,#GoogleMaps
25,"52.22656228161761, 21.00750922871147",Kościół p.w. św. Piotra i Pawła w Warszawie,#GoogleMaps
26,"52.238090962416095, 21.00537339346967",Gmach giełdy warszawskiej,#Lindley
118,"52.238090962416095, 21.00537339346967",Ujeżdżalnia przy ul. Królewskiej,#Lindley
27,"52.23971218509781, 21.002782030135094",Gościnny Dwór,#Lindley
28,"52.238930359884925, 20.99761073117185",Hale Mirowskie,#GoogleMaps
29,"52.234823429714076, 21.007183507764008","Kamienica Bractwa Subiektów Handlowych, nr hip. 1414a",#Fotomapa1935
30,"52.23435688674018, 21.00865842612838","Kamienica Braci Zambonich (neogotycka), nr hip. 1379",#Lindley
31,"52.22639868943129, 20.994626600929006",Dworzec Kaliski,#Fotomapa1935
32,"52.25594900439654, 21.05439649913739",Zajezdnia tramwajowa na Pradze,#Fotomapa1935
33,"52.25093523770945, 21.04833495591725",Dworzec Terespolski,#Fotomapa1935
34,"52.247794897657954, 21.051749686105747",Rogatka Grochowska II,#Lindley
35,"52.2478133163207, 21.02822629569565",spichlerz zbożowy na Skaryszewie,#Perthees
36,"52.24396857898773, 21.021288712173188",cegielnia miejska Starej Warszawy,#Mrozowski_2020
37,"52.245374017741064, 21.022634988705338",przystań miejska Starej Warszawy,#Mrozowski_2020
38,"52.251844588418436, 21.03082724008169",kościół św. Michała Archanioła i Floriana,#GoogleMaps
39,"52.22273147313137, 21.01977618464994",Mokotowska,
40,"52.238100755089185, 21.010635518811753","Kamienica zboru luterańskiego, nr hip. 1066J (Kredytowa 4)",#GoogleMaps
41,"52.23845190722721, 21.010877293117264","Dom parafialny zboru luterańskiego, nr hip. 1066J (Plac Ewangelicki)",#Fotomapa1935
42,"52.226299675701036, 21.005056457786562","Ogród pomologiczny, nr hip. 1600A",#Lindley
43,"52.23728815274099, 21.01000653183161","Pałac Szlenkierów, nr hip. 5294",#GoogleMaps
44,"52.22501798356567, 20.989582549994676","Rogatki jerozolimskie, nr hip. 1582F",#Lindley
45,"52.24257954434774, 21.017115120566146",Rotunda na Karowej (teren obecnej ul. Karowej 18a),#Lindley
46,"52.239244, 21.022134",Rotunda na Dynasach,#GoogleMaps
47,"52.24142860372724, 21.02519130870737",Miejska Fabryka Betonu ul. Dobra 72,#Lindley
48,"52.26331058316724, 21.050856071052756",Stacja Warszawa Stalowa,#Fotomapa1935
49,"52.25887944977987, 21.059582945360745",Bazylika na Kawęczyńskiej,#Fotomapa1935
50,"52.259414662266934, 21.057474729027064",Szkoła (ul. Otwocka),#Fotomapa1935
51,"52.241165, 21.012682",Sobór św. Aleksandra Newskiego na Pl. Saskim,#Lindley
52,"52.24062638411823, 21.018540750077108",kampus UW przy Krakowskim Przedmieściu,#Lindley
53,"52.23791889182027, 21.01809453202634",Pałac Staszica,#GoogleMaps
54,"52.24935910656511, 21.013318306179304","budynki pojezuickie na Starym Mieście, dawny Wydział Lekarski UW",
55,"52.2256811355311, 21.028325911245236",Aleksandryjsko-Maryjski Instytut Wychowania Panien (dawny Instytut Szlachecki) ul. Wiejska 6/8,
