identifiers,iris,names
1,http://purl.org/urbanonto/object_type_69b23a38-e994-4b30-bf29-a685aeef3154,altana
2,http://purl.org/urbanonto/object_type_d0b5eb87-17c1-45ef-9bcd-b39adb85cba0,ambulatorium
3,http://purl.org/urbanonto/object_type_b25af316-d50a-4761-832c-6d967f745b9e,archiwum
4,http://purl.org/urbanonto/object_type_1825216a-68dd-4ae7-b53c-4736713f7f45,areszt ?ledczy
5,http://purl.org/urbanonto/object_type_3e00cb4c-a6c0-4394-b5b4-4ff577a15376,arsena?
6,http://purl.org/urbanonto/object_type_05373902-6260-4373-96f9-685cee4f414a,bagno
7,http://purl.org/urbanonto/object_type_ec9130a7-541f-4128-a892-c9bd391811f6,bank
8,http://purl.org/urbanonto/object_type_db09afe5-a9f2-4ad4-82ca-143b0f26f525,barbakan
9,http://purl.org/urbanonto/object_type_3b34975a-f1cb-4b37-ae68-74f0052adad2,basen
10,http://purl.org/urbanonto/object_type_ef25d27e-e146-48ad-bd4b-8454ae28bb25,bastion
11,http://purl.org/urbanonto/object_type_1b9fe3b6-652b-4397-8f0c-998b585e4e87,baszta
12,http://purl.org/urbanonto/object_type_65810a6e-2526-4cc8-9a2d-c733569c228a,baza eksploatacyjna
13,http://purl.org/urbanonto/object_type_b4a41d80-d378-4adb-becb-8a7fab1d46b0,biblioteka
14,http://purl.org/urbanonto/object_type_8862f8fa-fe60-4649-bcf8-45c98fdd9e1f,blok zabudowy
15,http://purl.org/urbanonto/object_type_5e55b798-5e07-470b-bab7-b84e718a5baa,boisko
16,http://purl.org/urbanonto/object_type_51b2b48a-fbcc-4adf-a0a9-fd90c2066bd7,brama
17,http://purl.org/urbanonto/object_type_7f9933d6-facf-498a-8cab-b21a4eb4aae4,brama miejska
18,http://purl.org/urbanonto/object_type_8c55d74c-fac9-4cd5-bb7f-bb01064e9a4d,bród
19,http://purl.org/urbanonto/object_type_8bff2978-7a4b-49d3-b94d-a393ad30f914,budynek gospodarczy
20,http://purl.org/urbanonto/object_type_36983569-cabe-4309-8f18-107316903411,budynek ogrodu zoologicznego lub botanicznego
21,http://purl.org/urbanonto/object_type_48187b44-8d1c-4cb0-98f5-eeb6a0a68ecb,budynek produkcyjny zwierz?t hodowlanych
22,http://purl.org/urbanonto/object_type_f28683d3-bb10-4e88-8284-21a49e02b67b,bursa szkolna
23,http://purl.org/urbanonto/object_type_e63f65ef-61a0-4602-be34-90e52a067c70,cerkiew
24,http://purl.org/urbanonto/object_type_aff2095e-7ba5-4ce5-be60-1e408f4b80d7,cmentarz
25,http://purl.org/urbanonto/object_type_32815407-9ac8-488f-8414-cccae56e9913,cytadela
26,http://purl.org/urbanonto/object_type_cdc73205-dd22-4341-a13a-b358492ff9ce,dok
27,http://purl.org/urbanonto/object_type_d871b6fe-5868-42e7-aa78-e07a766a5044,dom dla bezdomnych
28,http://purl.org/urbanonto/object_type_0c9034c3-77a1-47d9-9067-a0e080ecfa43,dom dziecka
29,http://purl.org/urbanonto/object_type_f92d1dbd-7de9-47e9-8bf9-b78f27363604,dom jednoizbowy
30,http://purl.org/urbanonto/object_type_f73326e1-216a-4bc9-8894-cbbd00112e1d,dom jednorodzinny
31,http://purl.org/urbanonto/object_type_8b3ac720-b349-4d3b-92c4-48527594d39b,dom opieki spolecznej
32,http://purl.org/urbanonto/object_type_884f8bff-26cc-47df-9361-d27da38cd102,dom parafialny
33,http://purl.org/urbanonto/object_type_2429ab72-0013-4f2a-ac34-0a9c363c42e7,dom pogrzebowy
34,http://purl.org/urbanonto/object_type_7e689c7a-2810-4911-916f-b57dfb26ad53,dom publiczny
35,http://purl.org/urbanonto/object_type_8ee8e450-074b-4c22-a215-77cc9fa4b6ea,dom studencki
36,http://purl.org/urbanonto/object_type_6a76d684-39d1-4d14-92cd-ce80a9ef063a,dom towarowy lub handlowy
37,http://purl.org/urbanonto/object_type_c95a340c-2e28-4ca9-8f13-5349a1b4c46b,dom zakonny
38,http://purl.org/urbanonto/object_type_eabbcd66-5bb1-40c7-9e76-11ca4baa799d,droga wodna
39,http://purl.org/urbanonto/object_type_b08cee61-c162-4cb8-98fd-03a0508ab11e,dworzec kolejowy
40,http://purl.org/urbanonto/object_type_11f78853-134a-45d0-8090-efd8f28965bf,dzia?ka
41,http://purl.org/urbanonto/object_type_18e149fe-1b19-452d-b230-781dcdee378b,dzia?ka miejska
42,http://purl.org/urbanonto/object_type_92391a0e-941b-42e1-a499-ce45065592c1,dzwonnica
43,http://purl.org/urbanonto/object_type_d9ebb9bd-da35-41e7-8bd6-eebf4ed49e02,d?wig
44,http://purl.org/urbanonto/object_type_f7c6e7fe-157b-4fbd-88ca-dbb5cff42b2b,elektrownia
45,http://purl.org/urbanonto/object_type_41963db6-b35f-4aaa-8040-a059b388900f,elewator
46,http://purl.org/urbanonto/object_type_5083acfb-3f36-4587-83d3-6c27f1412381,esplanada forteczna
47,http://purl.org/urbanonto/object_type_ee09c17f-1029-40e9-a2ef-f8989ee51ed1,estakada
48,http://purl.org/urbanonto/object_type_824432d0-3ccc-46df-81ec-7b54d0509262,fabryka
49,http://purl.org/urbanonto/object_type_0f482fa3-04a0-423b-ab1f-4cdfad888b52,falochron
50,http://purl.org/urbanonto/object_type_f18f587f-e4d9-42cb-aca6-363a3a58738b,filharmonia
51,http://purl.org/urbanonto/object_type_4b2f4d68-7662-4205-bfc8-66c1fc921819,fontanna wolnostoj?ca
52,http://purl.org/urbanonto/object_type_6e66c5e3-4652-4ccf-a626-492169a1122b,forteca
53,http://purl.org/urbanonto/object_type_b4293a32-e17d-4159-bbe7-117f71ab946c,fosa
54,http://purl.org/urbanonto/object_type_81d08218-f988-46ba-a0b1-924cbb26abb5,furta
55,http://purl.org/urbanonto/object_type_7da67352-7841-46a2-9be0-663de41b9198,furta miejska
56,http://purl.org/urbanonto/object_type_b9b7e14a-8aa7-4b36-8622-e3928471bda3,galeria sztuki
57,http://purl.org/urbanonto/object_type_d873fdcf-acfb-4c52-9d84-e8fc55b0dfbc,garbary
58,http://purl.org/urbanonto/object_type_6d39053a-c3f0-47a3-96d2-2cf7f0a4742d,gmina kupiecka
59,http://purl.org/urbanonto/object_type_b86f5c8e-6c96-45cc-9e16-0ad58bc97a37,gospodarstwo hodowlane
60,http://purl.org/urbanonto/object_type_331f9036-04b2-4125-bd35-adb38e5f073b,grób
61,http://purl.org/urbanonto/object_type_ff500912-4b0f-41b3-a2cd-9a3d164c8620,hala sportowa
62,http://purl.org/urbanonto/object_type_c33318ac-c375-4821-a0c1-af7a63cd8ffb,hala targowa
63,http://purl.org/urbanonto/object_type_5b9cd873-3972-4aa9-9e76-51e6dab898bf,hala widowiskowa
64,http://purl.org/urbanonto/object_type_897b9a9c-459f-4199-911e-2f25d56c9514,hala wystawowa
65,http://purl.org/urbanonto/object_type_f5804075-2f0d-46b3-a25e-c92739d33920,hotel
66,http://purl.org/urbanonto/object_type_ee995979-23be-4441-9c9c-40382dc12698,hotel robotniczy
67,http://purl.org/urbanonto/object_type_8f04af49-8661-4738-9aa1-452f068525db,internat
68,http://purl.org/urbanonto/object_type_74c7a3cf-61fb-43b5-8d9a-5d7a1c4afca6,jatki
69,http://purl.org/urbanonto/object_type_a9d9bb77-753f-44f2-a5d8-51a50eb3300e,jaz
70,http://purl.org/urbanonto/object_type_290ba842-d297-43b3-8df2-12a4c0f2fcdd,jaz ruchomy lub zastawka pi?trz?ca
71,http://purl.org/urbanonto/object_type_0616e71f-f911-4b5b-8ddf-8e076b5e2ec2,jezioro
72,http://purl.org/urbanonto/object_type_a1b65f34-6349-4f88-8f33-2a0441e46203,jurydyka
73,http://purl.org/urbanonto/object_type_7a898e45-2e35-487c-9629-89e6789d5055,kamie? graniczny
74,http://purl.org/urbanonto/object_type_0233a2a4-5a1d-442c-b59d-0728dd0981b0,kamie? milowy
75,http://purl.org/urbanonto/object_type_99c5ed94-8a14-485c-8b18-542786dd08b1,kana?
76,http://purl.org/urbanonto/object_type_93d03b33-4643-46c0-916c-e5b9af97e7ae,kaplica wolnostoj?ca
77,http://purl.org/urbanonto/object_type_697a8778-030b-4d2e-9b4c-27041e61661c,kapliczka
78,http://purl.org/urbanonto/object_type_58008b80-aa5a-4cb2-bab0-0af4921f5ff7,kasyno
79,http://purl.org/urbanonto/object_type_963423b9-952e-42ea-9937-8399bec3d890,kino
80,http://purl.org/urbanonto/object_type_23aeb250-4d72-42b1-b9a0-3e387f676563,klasztor
81,http://purl.org/urbanonto/object_type_f4bb30da-bd08-477d-bae8-8b36f22d38be,kompleks szkolny
82,http://purl.org/urbanonto/object_type_201bdb3b-da22-43c4-9490-2b43e3fb136c,kram
83,http://purl.org/urbanonto/object_type_ddf57aca-9884-4d25-b1b1-d3a6efb64074,krematorium
84,http://purl.org/urbanonto/object_type_71b46985-b115-496b-a175-fc55a0ac5175,krzy? przydro?ny
85,http://purl.org/urbanonto/object_type_bbab1b1a-ec1a-405d-a0a9-f540e368a7a6,kwarta? podatkowy
86,http://purl.org/urbanonto/object_type_8b69df44-0b5c-4287-be30-8b7e1c8c8918,k?adka
