identifiers,topographic_object_identifiers,starts_at,ends_at,type_identifiers,historical_source_identifiers
1,1,1317-01-01,1867-12-31,174,
2,2,1317-01-01,1354-12-31,76,
6,2,1354-01-01,1807-12-31,207,
15,2,1758-01-01,1763-12-31,89,
16,2,1813-01-01,1813-12-31,173,
19,2,1945-01-01,1956-12-31,145,
20,2,1956-01-01,2020-12-31,207,
4,3,1337-01-01,1826-12-31,202,
3,4,1337-01-01,1540-12-31,81,
8,6,1366-01-01,1466-12-31,206,
13,6,1466-01-01,1867-12-31,76,
10,7,1450-01-01,1807-12-31,17,
17,10,1867-01-01,1945-12-31,173,
18,11,1867-01-01,1945-12-31,207,
