identifiers,iris,names
1,,altana
2,,ambulatorium
3,,archiwum
4,,areszt śledczy
5,,arsenał
6,,bagno
7,,bank
8,,barbakan
9,,basen
10,,bastion
11,,baszta
12,,baza eksploatacyjna
13,,biblioteka
14,,blok zabudowy
15,,boisko
16,,brama
17,,brama miejska
18,,bród
19,,budynek gospodarczy
20,,budynek ogrodu zoologicznego lub botanicznego
21,,budynek produkcyjny zwierząt hodowlanych
22,,bursa szkolna
23,,cerkiew
24,,cmentarz
25,,cytadela
26,,dok
27,,dom dla bezdomnych
28,,dom dziecka
29,,dom jednoizbowy
30,,dom jednorodzinny
31,,dom opieki spolecznej
32,,dom parafialny
33,,dom pogrzebowy
34,,dom publiczny
35,,dom studencki
36,,dom towarowy lub handlowy
37,,dom zakonny
38,,droga wodna
39,,dworzec kolejowy
40,,działka
41,,działka miejska
42,,dźwig
43,,dzwonnica
44,,elektrownia
45,,elewator
46,,esplanada forteczna
47,,estakada
48,,fabryka
49,,falochron
50,,filharmonia
51,,fontanna wolnostojąca
52,,forteca
53,,fosa
54,,furta
55,,furta miejska
56,,galeria sztuki
57,,garbary
58,,gmina kupiecka
59,,gospodarstwo hodowlane
60,,grób
61,,hala sportowa
62,,hala targowa
63,,hala widowiskowa
64,,hala wystawowa
65,,hotel
66,,hotel robotniczy
67,,internat
68,,jatki
69,,jaz
70,,jaz ruchomy lub zastawka piętrząca
71,,jezioro
72,,jurydyka
73,,kamień graniczny
74,,kamień milowy
75,,kanał
76,,kaplica wolnostojąca
77,,kapliczka
78,,kasyno
79,,kino
80,,kładka
81,,klasztor
82,,kompleks szkolny
83,,kram
84,,krematorium
85,,krzyż przydrożny
86,,kwartał podatkowy
87,,leprozorium
88,,linia metra
89,,magazyn
90,,manufaktura
91,,meczet
92,,miejsce poboru opłat
93,,miejsce straceń
94,,młyn
95,,molo
96,,most
97,,mury miejskie
98,,muzeum
99,,nasyp
100,,obiekt o znaczeniu historycznym
101,,obserwatorium
102,,oczyszczalnia ścieków
103,,oficyna
104,,ogród
105,,opactwo
106,,opera
107,,ostroga
108,,otulina wokół miasta
109,,pałac
110,,palatium
111,,parcela
112,,park
113,,parking
114,,pawilon
115,,pensjonat
116,,peron
117,,pierzeja
118,,plac
119,,plac zabaw
120,,placówka badawcza
121,,planty
122,,podgrodzie
123,,poligon wojskowy
124,,pomnik
125,,pomost albo molo
126,,port wodny
127,,posesja
128,,pręgierz
129,,przedszkole
130,,przejście podziemne
131,,przeprawa łodziami
132,,przeprawa promowa
133,,przewód gazowy
134,,przewód kanalizacyjny
135,,przewód wodociągowy
136,,przytułek
137,,rakarnia
138,,restauracja
139,,rezydencja ambasadora
140,,rezydencja biskupia
141,,rezydencja prezydencka
142,,rogatka
143,,rozmierzenie lokacyjne
144,,rozszerzenie miasta
145,,ruina zabytkowa
146,,rynek
147,,rzeka
148,,sąd
149,,sala gimnastyczna
150,,schody
151,,sieć kolejowa
152,,silos
153,,skarb
154,,słodownia
155,,śluza
156,,stacja meteorologiczna
157,,stacja metra
158,,stacja paliw
159,,stacja pomp
160,,stadion
161,,stajnia
162,,staw
163,,straż pożarna
164,,"strumień, potok lub struga"
165,,strzelnica
166,,synagoga
167,,szkoła
168,,szkoła średniowieczna i nowożytna
169,,szkoła wyższa budynek
170,,szkoła wyższa kompleks
171,,szkoła XIX wieku
172,,szkoła-kompleks
173,,szpital
174,,szpital przednowoczesny
175,,szubienica
176,,szuwary
177,,teatr
178,,teren składowania odpadów komunalnych
179,,teren składowania odpadów przemysłowych
180,,teren zabudowany
181,,tunel
182,,ulica
183,,urząd pocztowy
184,,wał przeciwpowodziowy lub grobla
185,,warsztat
186,,wartownia
187,,wiadukt
188,,wiata
189,,wieża ciśnień
190,,woda płynąca
191,,zabudowania koszarowe
192,,zabytek nieużytkowy
193,,zajezdnia autobusowa
194,,zajezdnia tramwajowa
195,,zajezdnia trolejbusowa
196,,zakład karny
197,,zakład poprawczy
198,,założenie pałacowe
199,,zapora
200,,zbiornik zaporowy
201,,zespół pałacowy
202,,zespół sakralny lub klasztorny
203,,zespół szpitalny
204,,zespół zamkowy
205,,żłobek
206,,kaplica
207,,kościół
